year,izena,talde_izena,kategoria,denbora,kalea,tanda,tanda_posizioa,puntuazioa,posizioa,0_ziaboga,1_ziaboga,2_ziaboga,1_ziaboga,2_ziaboga
2022,PORTUGALETEKO URI URENA XL. BANDERA / XL BANDERA NOBLE VILLA DE PORTUGALETE,Donostiarra,,"21:23,72",1,3,2,8,2,5:28,10:26,16:26,10:26,16:26
2022,PORTUGALETEKO URI URENA XL. BANDERA / XL BANDERA NOBLE VILLA DE PORTUGALETE,Hibaika,,"21:28,62",1,2,1,7,3,5:32,10:27,16:30,10:27,16:30
2022,PORTUGALETEKO URI URENA XL. BANDERA / XL BANDERA NOBLE VILLA DE PORTUGALETE,Mutriku,,"21:38,88",3,2,2,6,4,5:41,10:35,16:40,10:35,16:40
2022,PORTUGALETEKO URI URENA XL. BANDERA / XL BANDERA NOBLE VILLA DE PORTUGALETE,Portugalete,,"21:44,04",2,3,3,5,5,5:33,10:38,16:46,10:38,16:46
2022,PORTUGALETEKO URI URENA XL. BANDERA / XL BANDERA NOBLE VILLA DE PORTUGALETE,Santoña,,"22:01,17",1,1,1,4,6,5:42,10:48,17:03,10:48,17:03
2022,PORTUGALETEKO URI URENA XL. BANDERA / XL BANDERA NOBLE VILLA DE PORTUGALETE,Castro,,"22:04,93",2,1,2,3,7,5:46,10:47,17:03,10:47,17:03
2022,PORTUGALETEKO URI URENA XL. BANDERA / XL BANDERA NOBLE VILLA DE PORTUGALETE,Astillero,,"22:09,22",2,2,3,2,8,5:45,10:46,17:07,10:46,17:07
2022,PORTUGALETEKO URI URENA XL. BANDERA / XL BANDERA NOBLE VILLA DE PORTUGALETE,Trintxerpe,,"22:44,06",3,1,3,1,9,5:41,10:54,17:25,10:54,17:25
2022,XXXVII BANDERA DE PASAIA,Lapurdi,,"21:05,13",5,2,1,9,1,2:19,7:50,12:55,7:50,12:55
2022,XXXVII BANDERA DE PASAIA,Donostiarra,,"21:06,30",4,2,2,8,2,2:19,7:50,12:55,7:50,12:55
2022,XXXVII BANDERA DE PASAIA,Mutriku,,"21:21,41",2,2,3,7,3,2:20,7:54,13:02,7:54,13:02
2022,XXXVII BANDERA DE PASAIA,Portugalete,,"21:22,40",1,2,4,6,4,2:19,7:55,13:05,7:55,13:05
2022,XXXVII BANDERA DE PASAIA,Hibaika,,"21:35,01",3,2,5,5,5,2:22,7:58,13:10,7:58,13:10
2022,XXXVII BANDERA DE PASAIA,Astillero,,"22:00,81",4,1,1,4,6,2:25,8:08,13:27,8:08,13:27
2022,XXXVII BANDERA DE PASAIA,Santoña,,"22:02,08",3,1,2,3,7,2:26,8:07,13:28,8:07,13:28
2022,XXXVII BANDERA DE PASAIA,Castro,,"22:02,12",2,1,3,2,8,2:25,8:08,13:26,8:08,13:26
2022,XXXVII BANDERA DE PASAIA,Trintxerpe,,"22:58,03",1,1,4,1,9,2:28,8:25,13:55,8:25,13:55
2022,XVIII BANDERA DEL REAL ASTILLERO DE GUARNIZO,Lapurdi,,"21:33,07",5,2,1,9,1,5:44,10:37,16:46,10:37,16:46
2022,XVIII BANDERA DEL REAL ASTILLERO DE GUARNIZO,Portugalete,,"21:39,96",1,2,2,8,2,5:43,10:37,16:49,10:37,16:49
2022,XVIII BANDERA DEL REAL ASTILLERO DE GUARNIZO,Hibaika,,"21:42,56",3,2,3,7,3,5:44,10:38,16:52,10:38,16:52
2022,XVIII BANDERA DEL REAL ASTILLERO DE GUARNIZO,Donostiarra,,"21:50,92",4,2,4,6,4,5:44,10:42,16:57,10:42,16:57
2022,XVIII BANDERA DEL REAL ASTILLERO DE GUARNIZO,Astillero,,"21:57,05",4,1,1,5,5,5:51,10:46,17:07,10:46,17:07
2022,XVIII BANDERA DEL REAL ASTILLERO DE GUARNIZO,Santoña,,"22:07,21",3,1,2,4,6,5:52,10:50,17:13,10:50,17:13
2022,XVIII BANDERA DEL REAL ASTILLERO DE GUARNIZO,Mutriku,,"22:13,92",2,2,5,3,7,5:52,10:49,17:10,10:49,17:10
2022,XVIII BANDERA DEL REAL ASTILLERO DE GUARNIZO,Castro,,"22:19,53",2,1,3,2,8,5:56,10:56,17:26,10:56,17:26
2022,XVIII BANDERA DEL REAL ASTILLERO DE GUARNIZO,Trintxerpe,,"23:26,78",1,1,4,1,9,6:14,11:29,18:19,11:29,18:19
2022,XXXVIII ONDARROAKO BANDERA - GOIMEK SARI NAGUSIA,Mutriku,,"20:37,03",3,2,1,9,1,5:10,10:08,15:39,10:08,15:39
2022,XXXVIII ONDARROAKO BANDERA - GOIMEK SARI NAGUSIA,Lapurdi,,"20:50,44",1,3,1,8,2,5:15,10:13,15:46,10:13,15:46
2022,XXXVIII ONDARROAKO BANDERA - GOIMEK SARI NAGUSIA,Donostiarra,,"21:05,76",2,3,2,7,3,5:12,10:19,16:00,10:19,16:00
2022,XXXVIII ONDARROAKO BANDERA - GOIMEK SARI NAGUSIA,Hibaika,,"21:11,51",3,3,3,6,4,5:17,10:21,16:03,10:21,16:03
2022,XXXVIII ONDARROAKO BANDERA - GOIMEK SARI NAGUSIA,Portugalete,,"21:25,45",2,2,2,5,5,5:17,10:30,16:16,10:30,16:16
2022,XXXVIII ONDARROAKO BANDERA - GOIMEK SARI NAGUSIA,Castro,,"21:48,69",2,1,1,4,6,5:22,10:38,16:36,10:38,16:36
2022,XXXVIII ONDARROAKO BANDERA - GOIMEK SARI NAGUSIA,Santoña,,"22:03,73",1,1,2,3,7,5:28,10:49,16:47,10:49,16:47
2022,XXXVIII ONDARROAKO BANDERA - GOIMEK SARI NAGUSIA,Astillero,,"22:12,47",1,2,3,2,8,5:29,10:50,16:52,10:50,16:52
2022,XXXVIII ONDARROAKO BANDERA - GOIMEK SARI NAGUSIA,Trintxerpe,,"22:38,88",3,1,3,1,9,5:41,11:09,17:15,11:09,17:15
2022,ERRENTERIAKO HIRIA IX. IKURRIÑA,Lapurdi,,"20:07,45",9,1,1,9,1,10:19,,,,
2022,ERRENTERIAKO HIRIA IX. IKURRIÑA,Hibaika,,"20:11,60",7,1,2,8,2,10:18,,,,
2022,ERRENTERIAKO HIRIA IX. IKURRIÑA,Donostiarra,,"20:14,74",8,1,3,7,3,10:21,,,,
2022,ERRENTERIAKO HIRIA IX. IKURRIÑA,Portugalete,,"20:29,39",5,1,4,6,4,10:24,,,,
2022,ERRENTERIAKO HIRIA IX. IKURRIÑA,Mutriku,,"20:39,80",6,1,5,5,5,10:33,,,,
2022,ERRENTERIAKO HIRIA IX. IKURRIÑA,Astillero,,"20:40,36",4,1,6,4,6,10:29,,,,
2022,ERRENTERIAKO HIRIA IX. IKURRIÑA,Santoña,,"21:06,27",3,1,7,3,7,10:41,,,,
2022,ERRENTERIAKO HIRIA IX. IKURRIÑA,Castro,,"21:28,40",2,1,8,2,8,10:55,,,,
