year,izena,talde_izena,kategoria,denbora,kalea,tanda,tanda_posizioa,puntuazioa,posizioa,0_ziaboga,1_ziaboga,2_ziaboga,1_ziaboga,2_ziaboga
2022,KEPA DEUN ARRANTZALEEN KOFRADIA XXII. IKURRIÑA,Arkote,,"20:57,58",3,3,1,12,1,3:06,10:09,17:21,10:09,17:21
2022,KEPA DEUN ARRANTZALEEN KOFRADIA XXII. IKURRIÑA,San Pedro,,"20:59,14",2,2,1,11,2,3:08,10:11,17:22,10:11,17:22
2022,KEPA DEUN ARRANTZALEEN KOFRADIA XXII. IKURRIÑA,Hondarribia,,"21:01,57",4,3,2,10,3,3:07,10:09,17:23,10:09,17:23
2022,KEPA DEUN ARRANTZALEEN KOFRADIA XXII. IKURRIÑA,San Juan,,"21:01,69",3,1,1,9,4,3:09,10:16,17:26,10:16,17:26
2022,KEPA DEUN ARRANTZALEEN KOFRADIA XXII. IKURRIÑA,Zarautz,,"21:03,35",1,3,3,8,5,3:08,10:10,17:25,10:10,17:25
2022,KEPA DEUN ARRANTZALEEN KOFRADIA XXII. IKURRIÑA,Deustu,,"21:11,15",5,2,2,7,6,3:10,10:18,17:34,10:18,17:34
2022,KEPA DEUN ARRANTZALEEN KOFRADIA XXII. IKURRIÑA,Pedreña,,"21:11,31",1,2,3,6,7,3:09,10:14,17:34,10:14,17:34
2022,KEPA DEUN ARRANTZALEEN KOFRADIA XXII. IKURRIÑA,Castro,,"21:13,47",4,2,4,5,8,3:09,10:16,17:32,10:16,17:32
2022,KEPA DEUN ARRANTZALEEN KOFRADIA XXII. IKURRIÑA,Camargo,,"21:16,44",2,1,2,4,9,3:10,10:23,17:39,10:23,17:39
2022,KEPA DEUN ARRANTZALEEN KOFRADIA XXII. IKURRIÑA,Zumaia,,"21:16,90",4,1,3,3,10,3:10,10:23,17:38,10:23,17:38
2022,KEPA DEUN ARRANTZALEEN KOFRADIA XXII. IKURRIÑA,Orio,,"21:30,38",1,1,4,2,11,3:07,10:22,17:47,10:22,17:47
2022,KEPA DEUN ARRANTZALEEN KOFRADIA XXII. IKURRIÑA,Busturialdea,,"21:38,07",2,3,4,1,12,3:10,10:26,17:52,10:26,17:52
2022,ZUMAIAKO XXXVII. IKURRIÑA,Arkote,,"21:42,22",1,3,1,12,1,05:24,10:43,16:24,10:43,16:24
2022,ZUMAIAKO XXXVII. IKURRIÑA,San Pedro,,"21:47,93",2,3,2,11,2,05:24,10:43,16:27,10:43,16:27
2022,ZUMAIAKO XXXVII. IKURRIÑA,Pedreña,,"22:03,90",1,2,1,10,3,05:32,10:55,16:49,10:55,16:49
2022,ZUMAIAKO XXXVII. IKURRIÑA,Zarautz,,"22:07,37",2,2,2,9,4,05:37,10:56,16:52,10:56,16:52
2022,ZUMAIAKO XXXVII. IKURRIÑA,San Juan,,"22:10,15",4,3,3,8,5,05:34,10:56,16:45,10:56,16:45
2022,ZUMAIAKO XXXVII. IKURRIÑA,Castro,,"22:23,41",3,2,3,7,6,05:38,11:01,16:57,11:01,16:57
2022,ZUMAIAKO XXXVII. IKURRIÑA,Hondarribia,,"22:27,06",3,3,4,6,7,05:33,11:04,16:57,11:04,16:57
2022,ZUMAIAKO XXXVII. IKURRIÑA,Camargo,,"22:35,13",2,1,1,5,8,05:46,11:07,17:11,11:07,17:11
2022,ZUMAIAKO XXXVII. IKURRIÑA,Deustu,,"22:40,46",4,2,4,4,9,05:45,11:15,17:14,11:15,17:14
2022,ZUMAIAKO XXXVII. IKURRIÑA,Zumaia,,"22:45,23",1,1,2,3,10,05:39,11:07,17:15,11:07,17:15
